,,,,,785.6383838
BENGALURU URBAN,ANEKAL,SARJAPUR,08-01,0.8636363636,
BENGALURU URBAN,ANEKAL,SARJAPUR,08-02,0.8181818182,
BENGALURU URBAN,ANEKAL,SARJAPUR,08-03,0.6363636364,
BENGALURU URBAN,ANEKAL,SARJAPUR,08-04,2.545454545,
BENGALURU URBAN,ANEKAL,SARJAPUR,08-05,0.4090909091,
BENGALURU URBAN,ANEKAL,SARJAPUR,08-06,0.6363636364,
BENGALURU URBAN,ANEKAL,SARJAPUR,08-07,2.454545455,
BENGALURU URBAN,ANEKAL,SARJAPUR,08-08,4.772727273,
BENGALURU URBAN,ANEKAL,SARJAPUR,08-09,1.045454545,
BENGALURU URBAN,ANEKAL,SARJAPUR,08-10,1.272727273,
BENGALURU URBAN,ANEKAL,SARJAPUR,08-11,0.1818181818,
BENGALURU URBAN,ANEKAL,SARJAPUR,08-12,3.5,
BENGALURU URBAN,ANEKAL,SARJAPUR,08-13,0.4090909091,
BENGALURU URBAN,ANEKAL,SARJAPUR,08-14,5.681818182,
BENGALURU URBAN,ANEKAL,SARJAPUR,08-15,2.818181818,
BENGALURU URBAN,ANEKAL,SARJAPUR,08-16,6.409090909,
BENGALURU URBAN,ANEKAL,SARJAPUR,08-17,6.727272727,
BENGALURU URBAN,ANEKAL,SARJAPUR,08-18,9.590909091,
BENGALURU URBAN,ANEKAL,SARJAPUR,08-19,1.136363636,
BENGALURU URBAN,ANEKAL,SARJAPUR,08-20,1,
BENGALURU URBAN,ANEKAL,SARJAPUR,08-21,7.409090909,
BENGALURU URBAN,ANEKAL,SARJAPUR,08-22,4.318181818,
BENGALURU URBAN,ANEKAL,SARJAPUR,08-23,2.454545455,
BENGALURU URBAN,ANEKAL,SARJAPUR,08-24,4.454545455,
BENGALURU URBAN,ANEKAL,SARJAPUR,08-25,0.7272727273,
BENGALURU URBAN,ANEKAL,SARJAPUR,08-26,1.045454545,
BENGALURU URBAN,ANEKAL,SARJAPUR,08-27,0.4090909091,
BENGALURU URBAN,ANEKAL,SARJAPUR,08-28,1.272727273,
BENGALURU URBAN,ANEKAL,SARJAPUR,08-29,2.227272727,
BENGALURU URBAN,ANEKAL,SARJAPUR,08-30,2.045454545,
BENGALURU URBAN,ANEKAL,SARJAPUR,08-31,11.31818182,
BENGALURU URBAN,ANEKAL,SARJAPUR,09-01,4.681818182,
BENGALURU URBAN,ANEKAL,SARJAPUR,09-02,2.090909091,
BENGALURU URBAN,ANEKAL,SARJAPUR,09-03,7.5,
BENGALURU URBAN,ANEKAL,SARJAPUR,09-04,5.636363636,
BENGALURU URBAN,ANEKAL,SARJAPUR,09-05,5.409090909,
BENGALURU URBAN,ANEKAL,SARJAPUR,09-06,4.318181818,
BENGALURU URBAN,ANEKAL,SARJAPUR,09-07,11.95454545,
BENGALURU URBAN,ANEKAL,SARJAPUR,09-08,16.31818182,
BENGALURU URBAN,ANEKAL,SARJAPUR,09-09,2.318181818,
BENGALURU URBAN,ANEKAL,SARJAPUR,09-10,11.59090909,
BENGALURU URBAN,ANEKAL,SARJAPUR,09-11,4.363636364,
BENGALURU URBAN,ANEKAL,SARJAPUR,09-12,9.272727273,
BENGALURU URBAN,ANEKAL,SARJAPUR,09-13,3.272727273,
BENGALURU URBAN,ANEKAL,SARJAPUR,09-14,11.27272727,
BENGALURU URBAN,ANEKAL,SARJAPUR,09-15,4.272727273,
BENGALURU URBAN,ANEKAL,SARJAPUR,09-16,2,
BENGALURU URBAN,ANEKAL,SARJAPUR,09-17,10.81818182,
BENGALURU URBAN,ANEKAL,SARJAPUR,09-18,2.136363636,
BENGALURU URBAN,ANEKAL,SARJAPUR,09-19,2.454545455,
BENGALURU URBAN,ANEKAL,SARJAPUR,09-20,6.636363636,
BENGALURU URBAN,ANEKAL,SARJAPUR,09-21,2.181818182,
BENGALURU URBAN,ANEKAL,SARJAPUR,09-22,1.045454545,
BENGALURU URBAN,ANEKAL,SARJAPUR,09-23,1.227272727,
BENGALURU URBAN,ANEKAL,SARJAPUR,09-24,3.590909091,
BENGALURU URBAN,ANEKAL,SARJAPUR,09-25,9.863636364,
BENGALURU URBAN,ANEKAL,SARJAPUR,09-26,2.090909091,
BENGALURU URBAN,ANEKAL,SARJAPUR,09-27,4.909090909,
BENGALURU URBAN,ANEKAL,SARJAPUR,09-28,3.909090909,
BENGALURU URBAN,ANEKAL,SARJAPUR,09-29,7.136363636,
BENGALURU URBAN,ANEKAL,SARJAPUR,09-30,2.454545455,
BENGALURU URBAN,ANEKAL,SARJAPUR,10-01,2.863636364,
BENGALURU URBAN,ANEKAL,SARJAPUR,10-02,6.863636364,
BENGALURU URBAN,ANEKAL,SARJAPUR,10-03,0.9545454545,
BENGALURU URBAN,ANEKAL,SARJAPUR,10-04,2.954545455,
BENGALURU URBAN,ANEKAL,SARJAPUR,10-05,4.545454545,
BENGALURU URBAN,ANEKAL,SARJAPUR,10-06,8.863636364,
BENGALURU URBAN,ANEKAL,SARJAPUR,10-07,4.363636364,
BENGALURU URBAN,ANEKAL,SARJAPUR,10-08,3.272727273,
BENGALURU URBAN,ANEKAL,SARJAPUR,10-09,9.363636364,
BENGALURU URBAN,ANEKAL,SARJAPUR,10-10,6.181818182,
BENGALURU URBAN,ANEKAL,SARJAPUR,10-11,4.181818182,
BENGALURU URBAN,ANEKAL,SARJAPUR,10-12,5.045454545,
BENGALURU URBAN,ANEKAL,SARJAPUR,10-13,4.454545455,
BENGALURU URBAN,ANEKAL,SARJAPUR,10-14,0.8636363636,
BENGALURU URBAN,ANEKAL,SARJAPUR,10-15,12.5,
BENGALURU URBAN,ANEKAL,SARJAPUR,10-16,1.454545455,
BENGALURU URBAN,ANEKAL,SARJAPUR,10-17,0.04545454545,
BENGALURU URBAN,ANEKAL,SARJAPUR,10-18,0.7272727273,
BENGALURU URBAN,ANEKAL,SARJAPUR,10-19,3.272727273,
BENGALURU URBAN,ANEKAL,SARJAPUR,10-20,4.136363636,
BENGALURU URBAN,ANEKAL,SARJAPUR,10-21,1.636363636,
BENGALURU URBAN,ANEKAL,SARJAPUR,10-22,2.181818182,
BENGALURU URBAN,ANEKAL,SARJAPUR,10-23,2.727272727,
BENGALURU URBAN,ANEKAL,SARJAPUR,10-24,1.818181818,
BENGALURU URBAN,ANEKAL,SARJAPUR,10-25,4.863636364,
BENGALURU URBAN,ANEKAL,SARJAPUR,10-26,3.181818182,
BENGALURU URBAN,ANEKAL,SARJAPUR,10-27,0.6363636364,
BENGALURU URBAN,ANEKAL,SARJAPUR,10-28,8.272727273,
BENGALURU URBAN,ANEKAL,SARJAPUR,10-29,0.5454545455,
BENGALURU URBAN,ANEKAL,SARJAPUR,10-30,3.954545455,
BENGALURU URBAN,ANEKAL,SARJAPUR,10-31,7.409090909,
BENGALURU URBAN,ANEKAL,SARJAPUR,11-01,8.409090909,
BENGALURU URBAN,ANEKAL,SARJAPUR,11-02,4.181818182,
BENGALURU URBAN,ANEKAL,SARJAPUR,11-03,6.181818182,
BENGALURU URBAN,ANEKAL,SARJAPUR,11-04,2.045454545,
BENGALURU URBAN,ANEKAL,SARJAPUR,11-05,1.681818182,
BENGALURU URBAN,ANEKAL,SARJAPUR,11-06,2.272727273,
BENGALURU URBAN,ANEKAL,SARJAPUR,11-07,0.9090909091,
BENGALURU URBAN,ANEKAL,SARJAPUR,11-08,0.1363636364,
BENGALURU URBAN,ANEKAL,SARJAPUR,11-09,1.772727273,
BENGALURU URBAN,ANEKAL,SARJAPUR,11-10,6.772727273,
BENGALURU URBAN,ANEKAL,SARJAPUR,11-11,2.772727273,
BENGALURU URBAN,ANEKAL,SARJAPUR,11-12,0.3636363636,
BENGALURU URBAN,ANEKAL,SARJAPUR,11-13,1.227272727,
BENGALURU URBAN,ANEKAL,SARJAPUR,11-14,2.181818182,
BENGALURU URBAN,ANEKAL,SARJAPUR,11-15,0.3636363636,
BENGALURU URBAN,ANEKAL,SARJAPUR,11-16,1.5,
BENGALURU URBAN,ANEKAL,SARJAPUR,11-17,1.590909091,
BENGALURU URBAN,ANEKAL,SARJAPUR,11-18,0.1818181818,
BENGALURU URBAN,ANEKAL,SARJAPUR,11-19,1.454545455,
BENGALURU URBAN,ANEKAL,SARJAPUR,11-20,0.2727272727,
BENGALURU URBAN,ANEKAL,SARJAPUR,11-21,0.9090909091,
BENGALURU URBAN,ANEKAL,SARJAPUR,11-22,0.04545454545,
BENGALURU URBAN,ANEKAL,SARJAPUR,11-23,0.3636363636,
BENGALURU URBAN,ANEKAL,SARJAPUR,11-24,5.545454545,
BENGALURU URBAN,ANEKAL,SARJAPUR,11-25,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,11-26,0.8181818182,
BENGALURU URBAN,ANEKAL,SARJAPUR,11-27,0.5909090909,
BENGALURU URBAN,ANEKAL,SARJAPUR,11-28,0.04545454545,
BENGALURU URBAN,ANEKAL,SARJAPUR,11-29,0.04545454545,
BENGALURU URBAN,ANEKAL,SARJAPUR,11-30,0.8181818182,
BENGALURU URBAN,ANEKAL,SARJAPUR,12-01,3.545454545,
BENGALURU URBAN,ANEKAL,SARJAPUR,12-02,2.363636364,
BENGALURU URBAN,ANEKAL,SARJAPUR,12-03,0.1363636364,
BENGALURU URBAN,ANEKAL,SARJAPUR,12-04,0.4090909091,
BENGALURU URBAN,ANEKAL,SARJAPUR,12-05,1.409090909,
BENGALURU URBAN,ANEKAL,SARJAPUR,12-06,0.04545454545,
BENGALURU URBAN,ANEKAL,SARJAPUR,12-07,0.09090909091,
BENGALURU URBAN,ANEKAL,SARJAPUR,12-08,0.04545454545,
BENGALURU URBAN,ANEKAL,SARJAPUR,12-09,0.09090909091,
BENGALURU URBAN,ANEKAL,SARJAPUR,12-10,0.6363636364,
BENGALURU URBAN,ANEKAL,SARJAPUR,12-11,0.3636363636,
BENGALURU URBAN,ANEKAL,SARJAPUR,12-12,0.5909090909,
BENGALURU URBAN,ANEKAL,SARJAPUR,12-13,5.818181818,
BENGALURU URBAN,ANEKAL,SARJAPUR,12-14,0.3181818182,
BENGALURU URBAN,ANEKAL,SARJAPUR,12-15,0.1363636364,
BENGALURU URBAN,ANEKAL,SARJAPUR,12-16,0.09090909091,
BENGALURU URBAN,ANEKAL,SARJAPUR,12-17,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,12-18,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,12-19,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,12-20,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,12-21,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,12-22,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,12-23,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,12-24,0.05,
BENGALURU URBAN,ANEKAL,SARJAPUR,12-25,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,12-26,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,12-27,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,12-28,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,12-29,0,
BENGALURU URBAN,ANEKAL,SARJAPUR,12-30,0.7777777778,
BENGALURU URBAN,ANEKAL,SARJAPUR,12-31,0.9444444444,
